"Just like any other day, employees arrived in the workplace sparingly, filling the cubicles and getting their coffees ready. Once more, the manager was already sitting at his desk, grumbling and shouting - You’re way too slow, again! How am I supposed to get my work done with you slowing me down every day? The other employees were staring at each other. They were embarrassed by his outburst but deep inside they knew he was right. Satisfied by the nods in the assembly, the manager calmed down. As usual, he quickly got absorbed by his screen and numerous emails. He was not the moody type, just a normal guy. His team liked him very much and his performance record was exemplary. He was often described as someone caring and trustworthy with a genuine interest in people. Yet once again, his fist hit the desk loudly as he started screaming. That’s it, I’m done! Slow and unreliable old crap! You made me lose five hours of my life, again. World will be better off without you and I’m going to let the board know about that. He stood up suddenly and clenched his fists in anger. He then walked rapidly to the stairs, climbed and disappeared. Nobody saw him again for the day, but they all knew he was going for a confrontation, if not a fight. It was going to get really ugly up there.",0,,
"My so-called ‘friends’ in middle school used to call me Samara. Yes, the dead demon girl in The Ring. Apparently, I looked like her!",1,,
"i have been called hurtful names and i have been called black bitch and people are making fun of me for being black by my suppost to be friend t and she has posted rumors about me and i dont know what to do.",1,,
"at my old school kids would hit me and call me names one time one of them ran into me and i hit my head on the floor and after i felt like someone was stabbing my head all weekend at first i didn’t tell my mom but it ended up getting so bad that i had to transfer. Now I don't know how will I cope in a new environment with new people, I fear I would end up in a similar situation?",1,,
"I had debilitating migraines for three years because of the toxic work environment I was in. It took a two-week vacation (which included the stress of my own wedding) with absolutely NO migraines to finally realize the cause. I quit in June. I can count on one hand how many migraines I have had since, when I was getting on average one a week prior to leaving.",0,,
"I love my work, but hate going each day because of my supervisor. I would get physically ill knowing when she would be around. Emails from her gives me serious anxiety and hives. If she request any meetings, I would have stress attacks and cold sweats. I didn’t sleep, constantly worrying about work ― and was ill frequently. I ended up in the ICU last week at 36 years old and have serious work-induced anxiety.",0,,
"I have a chronic illness which was doing well enough for me to work. However, after a year of that toxic environment, my symptoms were getting worse. I could not function. It increased my depression. I developed a teeth-grinding problem. It was a horrible time.",0,,
"The other part is that sense of worthlessness. I struggle with this every day and have been looking for another job. The problem is no one else wants me, and it makes me feel worse when the only job that does views me as highly expendable and useless.",0,,
"I feel my whole body hurting. My mental health went down so much. I remember being on vacation worried so much about work that I checked my phone instead of spending time with my family.",0,,
"As a librarian, I've been threatened with stalking for not giving my phone number to a patron. I've also been shown naked, sexually explicit photos; and propositioned by countless men, some of which were married and standing right next to their children. Some of my female colleagues have had male patrons waiting for them in the parking lot after work, and they've received explicit messages over social media.",2,,
"I worked as an office manager, and the only woman, for an industrial insulation company. I had just come back from maternity leave and I was worried about my milk supply. I went into the bathroom to pump for about 15 minutes every two hours, and all of the men in the office would stand in the break area (right in front of the bathroom door) and make baby crying noises to make fun of me. Eventually it progressed to the point that they would make crying noises every time they passed my desk in hopes that I would leak through my shirt. They would also make comments about how much larger my breasts were since having a baby. I felt so harassed and unsafe that I would dread going to work every day, and I even had more than a few nervous breakdowns. My husband was furious and I had to convince him not to take any drastic action so that I could be sure to have a good reference if I needed to find another job. We had a long conversation and looked at our finances and decided the extra money wasn't worth the emotional distress. I ended up quitting my job and staying home with our kids.",2,,
"I used to work for a call center and the men there were extremely disgusting, always muttering sexual comments. The worst one I had was from a co-worker who used to message me on the work chat room, asking me to come blow him under his desk. When I reported it to HR they said I was the one causing the issue.",2,,
"When I was 13 or 14, I was babysitting two kids and some other kids came over for a play date, so I ended up watching them too. I got a ride home from the dad of one of the kids who'd come over. Earlier, I had noticed him staring at me specifically my chest but I didn’t think much of it. When we got in the car, he asked me where I went to school (normal), what I did outside of school (a little weird, but eh) and if I had a boyfriend (creepy). I, being an innocent lil nerd, proceeded to talk about the classes I was taking and how time-consuming but fun they were. I remember feeling flattered that he asked me so many questions about my life and seemed to listen to my response. I lived close by, so luckily I was home before anything could happen. As I was leaving the car, he asked for my phone number to contact me to babysit (which, again, is weird in retrospect because his daughters said they had a live-in nanny who usually watched them). I didn’t have a cell at the time and told him to ask the people I babysat for regularly to send him my email. He looked kinda mad, but by this point, I was out of the car and walking up the stairs to my front door.",2,,
"I work in law enforcement. I started out as a correctional officer in an all-male prison. When I was walking to my post one day an inmate screamed at me, 'Bitch, I'll beat your pussy so hard it'll put you in the hospital.' I called a unit code because to me, that is harassment. Violent sexual harassment. But because I worked in a male prison, I was supposed to let it go in one ear and out the other.",2,,
"I’m a waitress, and I get harassed daily by customers trying to order. The kitchen staff openly comments on female servers and female managers. The saddest thing is that it’s never properly addressed because cooks always have more job security than servers. I’ve even had a male manager tell me straight up that anybody can take that Coke to that table, but not everyone can make an omelette.",2,,
"I got made fun of for being fat in elementary, middle, and even high school. People would always go out of their way to tell me how fat I was and how unattractive that made me, especially in comparison to other girls. My nickname in third through fifth grade was ‘sumo wrestler,’ and once a boy drew a sumo wrestler on the blackboard and labeled it with my name. Even today, objectively knowing I am a pretty small person, I always feel fat. I’m working to unlearn harmful beauty standards and body dysmorphia, but years of bullying means I get triggered in the most unexpected ways, like when I’m at the beach or when a fat girl is made fun of in a movie.",1,,
"My whole life I’ve had a speech impediment where my ‘R’s sound funny, but it wasn’t until middle school when I started getting bullied about it. My best friend’s name was Sarah and mean girls would make fun of the way I said her name. Fast forward to now, we’re all seniors in high school. To this day my friends will still poke fun at my speech, and they don’t know how badly it hurts.",1,,
"I was fresh off of moving to a new town and entering my freshman year in a high school where I knew nobody. Nobody likes ‘fresh meat,’ especially girls. That first week I introduced myself in every class — so people would at least know my name — which severely backfired during gym. A guy started talking to me and the whole time, these two girls were whispering to each other while looking directly at me. I later found out that the boy was dating one of the girls. The girls spread rumors that I was a slut and I was hearing how I hooked up with all these boys after the first week. Mind you, I had never met any of the guys I had apparently hooked up with. So I had to pretty much start from negative scratch to build a reputation I actually liked for myself while everyone else was calling me a slut for unknowingly talking to someone else’s boyfriend.",1,,
"One time, my freshman year of high school, I was wearing weird Nike sneakers. This girl who hated and bullied me walked into the bathroom, saw my shoes, and said, ‘Oh my god, I love your shoes.’ She then walked out and I kid you not, it was like Regina George in Mean Girls scene where she compliments the skirt and then when the girl walks away, she says, ‘That’s the ugliest effing skirt I’ve ever seen.",1,,
